TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
ALL,2011,Q4,0.19161836355924605
ALL,2012,Q1,0.1756334900856018
ALL,2012,Q2,0.05739182233810425
ALL,2012,Q3,0.11729773565342552
ALL,2012,Q4,0.10460560851626925
ALL,2013,Q1,0.25889965365914736
ALL,2013,Q2,0.0574374093728907
ALL,2013,Q3,0.24347367137670517
ALL,2013,Q4,0.10784683749079704
ALL,2014,Q1,0.3811979038374765
ALL,2014,Q2,0.2573164655612065
ALL,2014,Q3,0.09669571816921234
ALL,2014,Q4,0.2078313926855723
ALL,2015,Q1,0.1504017158790871
ALL,2015,Q2,0.2068494657675425
ALL,2015,Q3,0.22195993936978853
ALL,2015,Q4,0.08611027683530535
ALL,2016,Q1,0.1947431755065918
ALL,2016,Q2,0.2953744928042094
ALL,2016,Q3,0.22389666473164277
ALL,2016,Q4,0.1156266899335952
ALL,2017,Q1,0.3268726605635423
ALL,2017,Q2,0.10115274361201695
ALL,2017,Q3,0.028227212528387707
ALL,2017,Q4,0.47820818424224854
ALL,2018,Q1,0.12826506449626043
ALL,2018,Q2,0.09693780541419983
ALL,2018,Q3,0.11734090401576115
ALL,2018,Q4,0.0420477032661438
ALL,2019,Q1,0.0794841746489207
ALL,2019,Q2,0.22172908272062028
ALL,2019,Q3,0.1647089123725891
ALL,2019,Q4,0.0
ALL,2020,Q1,0.1257802898233587
ALL,2020,Q2,0.0
ALL,2020,Q3,0.2984982453859769
ALL,2020,Q4,0.0
ALL,2021,Q1,0.1012108746696921
ALL,2021,Q2,0.0
ALL,2021,Q3,0.210488224029541
ALL,2021,Q4,0.04326364025473595
ALL,2022,Q1,0.0
ALL,2022,Q2,0.08160651061269972
ALL,2022,Q3,0.24465353380550037
ALL,2022,Q4,0.12300588786602021
ALL,2023,Q1,0.17977426052093506
ALL,2023,Q2,0.1653372198343277
ALL,2023,Q3,0.22777054638698183
ALL,2023,Q4,0.29882119731469586
ALL,2024,Q1,0.0470606654882431
ALL,2024,Q2,0.1305523387023381
ALL,2024,Q3,0.11960838522229876
APO,2011,Q2,0.08526827530427412
APO,2011,Q3,0.07465936740239461
APO,2011,Q4,0.11878237979752677
APO,2012,Q1,0.17454329878091812
APO,2012,Q2,0.18214149475097657
APO,2012,Q3,0.0
APO,2012,Q4,0.0
APO,2013,Q1,0.0
APO,2013,Q2,0.0
APO,2013,Q3,0.10372413056237358
APO,2014,Q1,0.0
APO,2014,Q2,0.0
APO,2014,Q3,0.0
APO,2015,Q1,0.0
APO,2015,Q2,0.0
APO,2015,Q3,0.08515992429521349
APO,2015,Q4,0.0
APO,2016,Q2,0.0
APO,2016,Q3,0.0
APO,2016,Q4,0.0
APO,2017,Q2,0.0
APO,2017,Q3,0.564716637134552
APO,2017,Q4,0.0
APO,2018,Q1,0.0
APO,2018,Q2,0.0
APO,2018,Q4,0.0
APO,2019,Q1,0.0
APO,2019,Q3,0.0
APO,2020,Q1,0.13261537551879882
APO,2020,Q2,0.07295554876327515
APO,2020,Q4,0.0
APO,2021,Q1,0.0
APO,2021,Q2,0.0
APO,2021,Q3,0.0
APO,2021,Q4,0.0
APO,2022,Q1,0.12132947146892548
APO,2022,Q2,0.0
APO,2022,Q3,0.0
APO,2022,Q4,0.18803247809410095
APO,2023,Q1,0.061120198832617864
APO,2023,Q2,0.0
APO,2023,Q3,0.0
APO,2024,Q1,0.0
APO,2024,Q2,0.0
APO,2024,Q3,0.0
APO,2024,Q4,0.0
AXS,2007,Q3,0.0909773183591438
AXS,2007,Q4,0.25972946870083713
AXS,2008,Q1,0.13899185260136923
AXS,2008,Q2,0.18516474377875233
AXS,2008,Q3,0.42484145425260067
AXS,2008,Q4,0.19527416427930197
AXS,2009,Q1,0.10601809230007109
AXS,2009,Q2,0.1421904968003095
AXS,2009,Q3,0.203590399232404
AXS,2009,Q4,0.16243859359196255
AXS,2010,Q1,0.22188100167389574
AXS,2010,Q2,0.1205803823303169
AXS,2010,Q3,0.25170604520373874
AXS,2010,Q4,0.21716308309918358
AXS,2011,Q1,0.38941712697347003
AXS,2011,Q2,0.16841241319974262
AXS,2011,Q3,0.2563032637942921
AXS,2011,Q4,0.24201483130455018
AXS,2012,Q1,0.11098573872676262
AXS,2012,Q2,0.23157323689400394
AXS,2012,Q3,0.1886380508721593
AXS,2012,Q4,0.17571337827264447
AXS,2013,Q1,0.12560423992682193
AXS,2013,Q2,0.1338670916027493
AXS,2013,Q3,0.04864236956737081
AXS,2013,Q4,0.11615309877829118
AXS,2014,Q1,0.13170560555798666
AXS,2014,Q2,0.19110778111677904
AXS,2014,Q3,0.24306270191746374
AXS,2014,Q4,0.19757596096571753
AXS,2015,Q1,0.2715380704402924
AXS,2015,Q2,0.3580118967936589
AXS,2015,Q3,0.18726606143487468
AXS,2015,Q4,0.1753252979480859
AXS,2016,Q1,0.1192701286391208
AXS,2016,Q2,0.1776698934180396
AXS,2016,Q3,0.13644746212022646
AXS,2016,Q4,0.21961215955595817
AXS,2017,Q1,0.2301115310854382
AXS,2017,Q2,0.2658258960360572
AXS,2017,Q3,0.30971464035766466
AXS,2017,Q4,0.2508115036146981
AXS,2018,Q1,0.0929697168909985
AXS,2018,Q2,0.1787638823900904
AXS,2018,Q3,0.12374822451518132
AXS,2018,Q4,0.1909211697401824
AXS,2019,Q1,0.17562336921691896
AXS,2019,Q2,0.16492943194779483
AXS,2019,Q3,0.2066410115131965
AXS,2019,Q4,0.22601574659347534
AXS,2020,Q1,0.09758180506685947
AXS,2020,Q2,0.12846646457910538
AXS,2020,Q3,0.2562076792572484
AXS,2020,Q4,0.1387564368167166
AXS,2021,Q1,0.1674445889890194
AXS,2021,Q2,0.10881910452971587
AXS,2021,Q3,0.25091106827194626
AXS,2021,Q4,0.18545132040977477
AXS,2022,Q1,0.30528491735458374
AXS,2022,Q2,0.20486975283849806
AXS,2022,Q3,0.2473254181304068
AXS,2022,Q4,0.1470218954547759
AXS,2023,Q1,0.14531251119107616
AXS,2023,Q2,0.06641056216680087
AXS,2023,Q3,0.0651277784715619
AXS,2023,Q4,0.08439156599342823
AXS,2024,Q1,0.08439156599342823
AXS,2024,Q2,0.15894150513189811
AXS,2024,Q3,0.17518316407998402
AXS,2024,Q4,0.10828711227937178
